Definition,Description,KEY,Link,CSV,Streamlit
ProcessSheet,"Google Sheet, storing standard processes used to provide a framework for various activities, processes and overall guidance. 

Process Sheet DIffers From Notes, in that it is much more of a Check List, which can be used as a template. Notes is the extended, learning, comments, etc.",,https://docs.google.com/spreadsheets/d/1iXlm49QOVpVpL5PbKqNyqE9gI7Rb2XCZsfXyJfiPXyc/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSbgjQNDbwl_UjsXd-zN6dCDofE_mdHJli1kPPp5bmv6gagoT8CEGMa38UWdJ4B9GHXd_ULozunfX1h/pub?output=csv,https://process-powerpoint-presenetation.streamlit.app
DataDashboardSheet,"Google Sheet, Used to store information related to Terms, Definitions, etc.",,https://docs.google.com/spreadsheets/d/1tZ-_5Vv99_bm9CCEdDDN0KkmsFNcjWeKM86237yrCTQ/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/e/2PACX-1vQq1-3cTas8DCWBa2NKYhVFXpl8kLaFDohg0zMfNTAU_Fiw6aIFLWfA5zRem4eSaGPa7UiQvkz05loW/pub?output=csv,https://derek-dewald-datadashboard.streamlit.app
CodingDDashboard,Data Dictionary nformation related to Coding.,,https://docs.google.com/spreadsheets/d/1FpYYq4LN6AZBaNRhnj1f76YNvnG-hTco40wJ1PUugto/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSnwd-zccEOQbpNWdItUG0qXND5rPVFbowZINjugi15TdWgqiy3A8eMRhbmSMBiRhHt1Qsry3E8tKY8/pub?output=csv,https://derekdewald-codedboard.streamlit.app
ML_Pipeline,Information related to ML Functions (Might be deleted and replaced in data dictionary),,,https://docs.google.com/spreadsheets/d/e/2PACX-1vRfmHGm3t2GZiKiN5HkFBNKH5EUZT1hV_nMe6baGRj93jHQRoul6n85ywO6DiFr8KA_X-muH-xcoiEa/pub?output=csv,
Mapping Sheet,,,https://docs.google.com/spreadsheets/d/1Wfr7DseyEgbDA4VdcrOaX_eIVtYBCISle2Hb0T0kE9s/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwDznLz-GKgWFT1uN0XZYm3bsos899I9MS-pSvEoDC-Cjqo9CWeEuSdjitxjqzF3O39LmjJB0_Fg-B/pub?output=csv,
Notes,"Notes is the General Overview, High Level Guidance to Walk one through a Concept, Ideas. Including Notes, Reminders and other things of Interest.

Individuals Terms can be referenced here, but the Definition and Explanation go in Data Dashboard. ",,https://docs.google.com/spreadsheets/d/1jddkkF5IWRr_eV1hTjB-T_IlmGJ-GpizYgeMgZQQxb4/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSQF2lNc4WPeTRQ_VzWPkqSZp4RODFkbap8AqmolWp5bKoMaslP2oRVVG21x2POu_JcbF1tGRcBgodu/pub?output=csv,
d_py_functions,,,,,https://d-python-domain.streamlit.app
JobSearchNotes,,,https://docs.google.com/spreadsheets/d/1sMdgmp80DXDojDl6uYS6INdoJxVDbhIwpwCtpxBjHVg/edit?gid=668067090#gid=668067090,,
BerkeleyEmail,,,https://sites.google.com/berkeley.edu/alumni-email/home?authuser=2,https://bconnected.berkeley.edu/services/alumni-email-service,
OurWorldData,,,www.ourworlddata.org,,
KaggelDatasets,,,https://www.kaggle.com/datasets,,
StLouisFed,,,https://fred.stlouisfed.org,,
GoggleResearch,,,https://datasetsearch.research.google.com,,
UCI,,,https://archive.ics.uci.edu,,
AWS,,,https://registry.opendata.aws/,,
AWSDataExchange,,,https://aws.amazon.com/data-exchange/,,
AWSPublicData,,,https://aws.amazon.com/public-datasets/,,
SKlearn Model Parameters,,,https://docs.google.com/spreadsheets/d/1GhIiuEMY-A-SNtQOj5Z24wARLVGvEd10qVT3MpGtj2Y/edit?gid=175044227#gid=175044227,https://docs.google.com/spreadsheets/d/e/2PACX-1vSnzcSYTXm2jl9GXvrNaH3b3TPbNufGJwRTMeJ8Ckhse_r9CWGjlXWlUfyGTwcnoXqT7ZLLyBAk2rKO/pub?gid=175044227&single=true&output=csv,
Sklearn Models,,,,https://docs.google.com/spreadsheets/d/e/2PACX-1vToNab_ADzmxRZkg4bJ5wOwLZcrdwNYrxwWBETdGlfGSoUpnyy799EpbYqDqnwyKs2bEyJHUu58SX8Q/pub?gid=1125524518&single=true&output=csv,
Consolidated Dashboard,,,,,https://knowledgedashboard.streamlit.app
TensorFlow Playground,,,https://playground.tensorflow.org/,,
