Definition,Classification,Description,KEY,Link,CSV,Streamlit
Processes,Google Sheet,Defined Processes to Follow. To serve as a frame of reference and reminder on how to effectively accomplish certain tasks.,,https://docs.google.com/spreadsheets/d/1iXlm49QOVpVpL5PbKqNyqE9gI7Rb2XCZsfXyJfiPXyc/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSbgjQNDbwl_UjsXd-zN6dCDofE_mdHJli1kPPp5bmv6gagoT8CEGMa38UWdJ4B9GHXd_ULozunfX1h/pub?output=csv,https://process-powerpoint-presenetation.streamlit.app
Definitions,Google Sheet,"Data Defintions, Links, Images, Etc.",,https://docs.google.com/spreadsheets/d/1tZ-_5Vv99_bm9CCEdDDN0KkmsFNcjWeKM86237yrCTQ/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/e/2PACX-1vQq1-3cTas8DCWBa2NKYhVFXpl8kLaFDohg0zMfNTAU_Fiw6aIFLWfA5zRem4eSaGPa7UiQvkz05loW/pub?output=csv,https://derek-dewald-datadashboard.streamlit.app
Notes,Google Sheet,"Notes on a subject, helpful information, things that I've learnt, or might need to easily recall and understand.",,https://docs.google.com/spreadsheets/d/1jddkkF5IWRr_eV1hTjB-T_IlmGJ-GpizYgeMgZQQxb4/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSQF2lNc4WPeTRQ_VzWPkqSZp4RODFkbap8AqmolWp5bKoMaslP2oRVVG21x2POu_JcbF1tGRcBgodu/pub?output=csv,
Technical Notes,Google Sheet,"Notes Specifically related to Coding, Computers and more technical.",,https://docs.google.com/spreadsheets/d/1FpYYq4LN6AZBaNRhnj1f76YNvnG-hTco40wJ1PUugto/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSnwd-zccEOQbpNWdItUG0qXND5rPVFbowZINjugi15TdWgqiy3A8eMRhbmSMBiRhHt1Qsry3E8tKY8/pub?output=csv,https://derekdewald-codedboard.streamlit.app
Mapping Sheet,Google Sheet,THIS SHEET.,,https://docs.google.com/spreadsheets/d/1Wfr7DseyEgbDA4VdcrOaX_eIVtYBCISle2Hb0T0kE9s/edit?gid=0#gid=0,https://docs.google.com/spreadsheets/d/e/2PACX-1vSwDznLz-GKgWFT1uN0XZYm3bsos899I9MS-pSvEoDC-Cjqo9CWeEuSdjitxjqzF3O39LmjJB0_Fg-B/pub?output=csv,
d_py_functions,Folder,"Derek's Primary Python Library. 
Original Version Stored in /Users/derekdewald/Documents/Python/Github_Repo/d_py_functions. 
Git Folder: https://github.com/derek-dewald/Python_Tools/tree/main/d_py_functions",,,,
Job Search,Google Sheet,,,https://docs.google.com/spreadsheets/d/1sMdgmp80DXDojDl6uYS6INdoJxVDbhIwpwCtpxBjHVg/edit?gid=668067090#gid=668067090,,
OurWorldData,Data,,,www.ourworlddata.org,,
KaggelDatasets,Data,,,https://www.kaggle.com/datasets,,
StLouisFed,Data,,,https://fred.stlouisfed.org,,
GoggleResearch,Data,,,https://datasetsearch.research.google.com,,
UCI,Data,,,https://archive.ics.uci.edu,,
AWS,Data,,,https://registry.opendata.aws/,,
AWSDataExchange,Data,,,https://aws.amazon.com/data-exchange/,,
AWSPublicData,Data,,,https://aws.amazon.com/public-datasets/,,
SKlearn Model Parameters,Data,,,https://docs.google.com/spreadsheets/d/1GhIiuEMY-A-SNtQOj5Z24wARLVGvEd10qVT3MpGtj2Y/edit?gid=175044227#gid=175044227,https://docs.google.com/spreadsheets/d/e/2PACX-1vSnzcSYTXm2jl9GXvrNaH3b3TPbNufGJwRTMeJ8Ckhse_r9CWGjlXWlUfyGTwcnoXqT7ZLLyBAk2rKO/pub?gid=175044227&single=true&output=csv,
Sklearn Models,Data,,,,https://docs.google.com/spreadsheets/d/e/2PACX-1vToNab_ADzmxRZkg4bJ5wOwLZcrdwNYrxwWBETdGlfGSoUpnyy799EpbYqDqnwyKs2bEyJHUu58SX8Q/pub?gid=1125524518&single=true&output=csv,
Consolidated Dashboard,Data,,,,,https://knowledgedashboard.streamlit.app
TensorFlow Playground,External Site,Displaying How Tensor Flow Works.,,https://playground.tensorflow.org/,,
