Folder,Function,Parameters,Type,Definition
filesystem_tools.py,read_directory,location,str,The path to the directory. Defaults to the current working directory if not provided.
filesystem_tools.py,read_directory,file_type,str,"The file extension or type to filter by (e.g., '.ipynb'). If empty, returns all files."
filesystem_tools.py,read_directory,match_str,str,Option to be applied to help filter only wanted files by portion of string condition.
filesystem_tools.py,txt_to_python,file_name,str,"Name of File, including path location for import"
filesystem_tools.py,txt_to_python,encoding,str,Encoding to be applied by With Open call. Default is utf-8.
filesystem_tools.py,parse_dot_py_file,file_text,str,"Text, which should be structured someone in format of function_columns, based on prevailing default Python String Documentation"
filesystem_tools.py,parse_dot_py_file,function_columns,list,List of columns to include in output file and to be parsed on. Default is to import from object_dict which represents default Python String Documentation.
filesystem_tools.py,parse_dot_py_folder,location,str,Location of Folder to be read for .py files. Default is defined as /Users/derekdewald/Documents/Python/Github_Repo/d_py_functions
filesystem_tools.py,parse_dot_py_folder,export_location,str,"Location to where CSV file is to be exported. If left Blank, will not export a CSV."
daily_etl_folder_mgmt.py,extract_consolidated_raw_dataset,df_dict,dict,Dictionary of files to be included.
daily_etl_folder_mgmt.py,extract_consolidated_raw_dataset,export_location,str,"Location to where CSV file is to be exported. If left Blank, will not export a CSV."
daily_etl_folder_mgmt.py,generate_knowledgebase,notes_df,dataframe,Dataframe containing Notes from Google. Default is none and it will pull directly from Google.
daily_etl_folder_mgmt.py,generate_knowledgebase,definition_df,dataframe,Dataframe containing Definitions from Google. Default is none and it will pull directly from Google.
daily_etl_folder_mgmt.py,generate_knowledgebase,manual_object_df,dataframe,"Dataframe containining Dataframe of Parameters, generated from Python Process _____, which converts lists in objects_manual.py."
daily_etl_folder_mgmt.py,generate_knowledgebase,auto_object_df,,
daily_etl_folder_mgmt.py,generate_knowledgebase,export_location,str,"Name of File to export excel file to. If Blank, returns nothing"
daily_etl_folder_mgmt.py,extract_object_dot_py,object_dict,dict,Dictionary Object from either objects_manual or objects_automated
daily_etl_folder_mgmt.py,extract_object_dot_py,export_location,str,Location where .xlsx file will be saved.
daily_etl_folder_mgmt.py,generate_objects_automated_py,links_df,df,"Data from Google Sheets with Location of CSV and Links. If Nothing, it will pull from Google."
daily_etl_folder_mgmt.py,generate_objects_automated_py,consolidated_df,df,"Dataset created from extract_consolidated_raw_dataset.py. If nothing, it will pull from Local Source."
daily_etl_folder_mgmt.py,generate_objects_automated_py,dot_py_documentation,df,"Dataset created from _______, representing Python String Documentation. If nothing, it will pull from local Source."
